Reporter Country Code,Reporter Countries,pre_india_share,pre_from_india_t,pre_total_t,post_india_share,post_from_india_t,post_total_t,share_change,volume_change_t
18,Bhutan,0.9998801921004459,169667.98,169688.31,0.9996107839309929,187766.0,187839.11,-0.0002694081694529782,18098.01999999999
149,Nepal,0.9952326641431846,1364318.415,1370626.98,,,,,
238,Ethiopia,0.9667405225348471,1975835.05,2039817.31,0.8073429074110361,623798.18,772655.8,-0.159397615123811,-1352036.87
38,Sri Lanka,0.9325708105565907,888885.23,930470.695,0.8279420359257916,139683.18,160943.02500000002,-0.10462877463079912,-749202.05
118,Kuwait,0.9180969432595116,363152.62,395756.765,0.9261699409571336,313258.94999999995,338230.52999999997,0.008072997697621931,-49893.67000000004
133,Mali,0.8917847550950814,613576.19,688031.7099999998,0.5431783026570468,391668.39999999997,721067.83,-0.34860645243803456,-221907.78999999998
59,Egypt,0.8906628395030499,309712.885,349505.87,0.8849761877095224,342808.835,390055.50000000006,-0.005686651793527564,33095.95000000001
132,Maldives,0.8866106993698784,51858.325,58484.94499999999,0.9048680794890047,58427.275,64516.89,0.018257380119126365,6568.950000000004
179,Qatar,0.8602395104223073,289350.825,336394.92000000004,0.8829437320483925,276405.5,313049.96,0.022704221626085208,-12945.325000000012
196,Seychelles,0.8503032661664847,10700.875,12659.71,0.8380280218249461,10808.585,12894.02,-0.012275244341538594,107.70999999999913
217,Togo,0.8291158276972576,268732.30500000005,324682.36,0.7415615290424642,376765.265,508654.39999999997,-0.08755429865479336,108032.95999999996
72,Djibouti,0.8243237738595832,803848.2150000001,974251.54,0.6817155609798915,569680.96,835657.85,-0.14260821287969172,-234167.25500000012
129,Madagascar,0.7885044753903986,1054143.21,1337955.885,0.8200525635763878,673617.36,821431.93,0.0315480881859892,-380525.85
233,Burkina Faso,0.7854797285369475,391766.25,490795.82499999995,0.6265585871120649,526835.05,855245.645,-0.15892114142488256,135068.80000000005
13,Bahrain,0.7601046318268108,99622.88,131059.105,0.8287905350668685,102930.82,124194.01,0.06868590324005774,3307.9400000000023
185,Russian Federation,0.7491957588015313,260679.65999999997,347945.98999999993,,,,,
215,United Republic of Tanzania,0.7473888155619228,104.13499999999999,146.72,0.07014221209471813,18828.840000000004,140277.105,-0.6772466034672047,18724.705000000005
194,Saudi Arabia,0.7459655383344584,1836762.51,2465236.8049999997,0.7637024395334069,2294132.0500000003,3011522.8950000005,0.01773690119894844,457369.54000000027
237,Viet Nam,0.7308096512237585,894427.3049999999,1221674.395,0.39802718395632225,331530.06,832933.21,-0.33278246726743627,-562897.2449999999
46,Congo,0.7298741585313748,178971.005,242351.72499999998,0.7561648348368655,100078.0,132349.45,0.026290676305490646,-78893.005
52,Azerbaijan,0.7012543161979555,67786.88,96399.91,0.7730406855227268,89919.36,116881.735,0.07178636932477123,22132.479999999996
225,United Arab Emirates,0.7011140712213393,859041.9199999999,1230772.25,0.72285324784257,848994.79,1174505.05,0.021739176621230705,-10047.129999999888
137,Mauritius,0.6612982139941572,59482.81,90636.275,0.7170428871512634,91438.32,127521.41000000002,0.055744673157106184,31955.51000000001
53,Benin,0.6424123906809942,1873782.655,2917991.4850000003,0.7260992516410235,2351318.325,3239239.185,0.08368686096002931,477535.67000000016
195,Senegal,0.6396992770949999,904775.2549999999,1457229.25,0.4587081441447408,669518.7549999999,1451008.4849999999,-0.18099113295025904,-235256.5
28,Myanmar,0.6341722975138795,240.86,526.18,0.5296111468195792,2200.01,4154.01,-0.10456115069430028,1959.15
299,Palestine,0.6193507061948964,63902.09999999999,102983.98999999999,0.833557716961325,58583.62,70281.42,0.21420701076642856,-5318.479999999989
221,Oman,0.5911435588332532,274506.32499999995,466314.85,0.7143869674860178,252413.79,353329.22,0.12324340865276462,-22092.534999999945
7,Angola,0.5400327279511449,541822.0449999999,984797.365,0.5321875846728286,347059.43,651209.635,-0.007845143278316313,-194762.61499999993
209,Eswatini,0.5117158743096151,37858.75,73922.605,0.5777550485432832,42865.854999999996,72752.01,0.06603917423366812,5007.104999999996
102,Iran (Islamic Republic of),0.5109235109818455,1306648.5,2591336.34,,,,,
32,Cameroon,0.4893994785086825,782964.335,1586352.66,0.6026119006556494,745303.77,1236789.0,0.11321242214696692,-37660.564999999944
143,Morocco,0.47712659155021186,50251.009999999995,105520.875,0.7262736570818871,122686.62,168926.16,0.2491470655316752,72435.61
