Reporter Country Code,Reporter Countries,Commodity,mean_hhi,mean_shannon_h,mean_top_share,mean_eff_suppliers_hhi,mean_import_t,mean_idr,mean_idr_norm,mean_hhi_norm,risk_score
1,Armenia,Maize,0.993293692758808,0.023774649556343497,0.9966346589224857,1.0067585298436812,76637.13333333333,0.9999973444283162,0.9999972998989879,1.0,1.0009986499485835
1,Armenia,Rice,0.315310736990187,1.316561561141111,0.4718442945277486,3.171533448412102,19322.29333333333,0.9997387018265433,0.9997349715072054,0.24112161639369922,0.4922393410557785
1,Armenia,Wheat,0.9898493740098296,0.03402370528950213,0.9948943294481315,1.010286167744744,355013.61000000004,0.9937372293334789,0.9935706014540635,1.0,0.9977801220988106
3,Albania,Maize,0.9333954464783467,0.18198911938679765,0.965770875777068,1.0713729198822142,67510.11499999999,1.0,1.0,0.9243439343749085,0.9624288432446751
3,Albania,Rice,0.2417796315093631,1.6286032754592978,0.37761521205260684,4.14429212232975,23200.144999999997,0.9997023470067294,0.999698097682281,0.13788785174385032,0.37280666441367394
3,Albania,Wheat,0.4071482361653243,1.1837422927545438,0.5232177977862649,2.7535680619459555,134451.07,1.0,1.0,0.26833560248942284,0.51923495461295
7,Angola,Maize,0.5472323553926666,0.9470085853398528,0.7105983710141728,1.8750478403613442,57468.76,0.9961294066648879,0.9960645035321356,0.43393454756461075,0.6585269916537079
7,Angola,Rice,0.47767215600620094,0.9438050990017208,0.5794133904263813,2.1058768833991324,880308.5,0.9996920394832199,0.9996876430075161,0.469068420801336,0.685851048015496
7,Angola,Wheat,0.2025232561318779,1.8608694825268355,0.33792029214131597,5.141425849886417,681390.34,0.9850058391569113,0.9846069030696851,0.006408985495055929,0.08545377258301878
8,Antigua and Barbuda,Maize,0.8246288599802143,0.3361284146296379,0.9006544263124253,1.224871068064599,59.423333333333325,1.0,1.0,0.7862153658469456,0.8876950947328663
8,Antigua and Barbuda,Rice,0.31381730807754343,1.4356892295494912,0.4861624106852196,3.1988856572288804,1532.1266666666668,1.0,1.0,0.2390249215612064,0.4901682838401192
8,Antigua and Barbuda,Wheat,0.3802295179656481,1.2112324636411158,0.5436896584037333,2.657364172266138,3986.1733333333336,1.0,1.0,0.23387876935637414,0.48488519066448144
10,Australia,Rice,0.2225650061742177,1.8253152291291366,0.33203491193810847,4.509343279285818,434018.75,0.9999127907578967,0.9999115457498741,0.110911538839093,0.3346842561679345
11,Austria,Maize,0.19991496987881197,1.885877316435905,0.33319619754442886,5.2150634678310235,962391.2533333333,0.6515276445834259,0.6456843679625123,0.0,0.025429989539174257
11,Austria,Rice,0.2589368536485923,1.9045590059433648,0.4605298299172372,3.86448691112651,74631.21666666666,0.916876638978051,0.9156899614098465,0.16197567989201106,0.3865205941614898
11,Austria,Wheat,0.2826039328637839,1.5050781799785913,0.4311663384844526,3.547808993346916,1304947.57,0.622676925958627,0.6126378319170545,0.10891485129687149,0.2597073565482843
12,Bahamas,Maize,0.9998080707201836,0.0010102487383330998,0.9999040239645618,1.0001919876085579,1195.9966666666667,1.0,1.0,1.0,1.001
12,Bahamas,Rice,0.7741320082629706,0.47051547580052494,0.8733465536268844,1.2951389690251773,6545.316666666667,0.9999770126472236,0.999976684477434,0.8852822994840884,0.9418852996244388
12,Bahamas,Wheat,0.6152291024900592,0.5733661378094511,0.7328534184155019,1.6395390734774817,4549.830000000001,0.9999840349188256,0.9999836101503385,0.534685866121881,0.7322655066143641
13,Bahrain,Maize,0.4891180958477359,1.0611207731332735,0.6187681405745847,2.2870744176758238,18444.016666666666,0.9931688614116267,0.9930543150730515,0.36013210749132957,0.5991535110163182
13,Bahrain,Rice,0.6383321665078605,0.7663901515529826,0.7829999329068299,1.5734793945633803,128770.74,0.9675983534689312,0.967135784262891,0.6946265380677205,0.8206466620819659
13,Bahrain,Wheat,0.7145178689359573,0.583680285154296,0.8310604673976183,1.4155311950965184,117344.84333333332,0.9959140118556773,0.9958052996616568,0.6617787102920653,0.8128107596003196
14,Barbados,Maize,0.998641986946622,0.005395097971704058,0.9993202564556963,1.0013610022340806,29870.22,0.9988432723268765,0.9988238760113178,1.0,1.0004117651683875
14,Barbados,Rice,0.347773991328215,1.2046280033601655,0.4296601310253787,2.951035859308332,6318.610000000001,0.9947560924336217,0.9946812298751032,0.28669830038594724,0.5352156551907435
14,Barbados,Wheat,0.6013164260104112,0.8929045817841196,0.7644798900387938,1.6808770567645304,23197.926666666666,0.8375430920299115,0.8332207478929717,0.5168771885935769,0.6572852467424195
18,Bhutan,Maize,0.9988954753513826,0.0045637790602492,0.9994472961637204,1.0011062906950536,32741.59,0.999945745982691,0.9999448362369795,1.0,1.0009724177384793
18,Bhutan,Rice,0.9994911126274473,0.00243512414148835,0.9997454880157194,1.0005092191042397,178763.71,0.9999772983388728,0.9999769742476464,1.0,1.0009884870576153
18,Bhutan,Wheat,0.9872793149372203,0.041213562548327504,0.9936007204428616,1.0129201747840373,10513.65,1.0,1.0,1.0,1.001
19,Bolivia (Plurinational State of),Maize,0.5116140902998695,0.9105109683087149,0.5800158124817973,2.7425677316700097,15399.38,0.6175488440913041,0.6111358019568965,0.38870098706483314,0.48841573095092444
19,Bolivia (Plurinational State of),Rice,0.5488370664527437,0.6901172026930321,0.6591018911752262,1.8295423816180438,12167.186666666666,0.996650644541508,0.996602828801845,0.5689801733627317,0.7540648734078701
19,Bolivia (Plurinational State of),Wheat,0.8128173838343605,0.3545794898801026,0.8736894864391663,1.351614812151458,223463.56666666668,1.0,1.0,0.7876052803682978,0.8884784103447118
20,Botswana,Maize,0.9902492989619298,0.03194364815592846,0.9950967350898966,1.0098722090918726,263258.0366666667,0.9950875727426877,0.9950051998631797,0.9965457153786006,0.996775160012689
20,Botswana,Rice,0.942945825486062,0.16436668824919012,0.9708493535804275,1.060545489300936,75153.00666666667,0.9913178200144594,0.9911938723286912,1.0,0.9965872095311177
20,Botswana,Wheat,0.9280588407622662,0.16231189221384462,0.9612387858391988,1.087494979857552,119006.66666666667,0.9956177020134503,0.9955011061712349,0.9351180862128952,0.9658378271832438
21,Brazil,Wheat,0.5917471768728398,0.8862859964315598,0.7403922617585558,1.8437223462540475,5670948.16,0.7206718353201516,0.7132400032732903,0.5046282390597974,0.600949178484452
23,Belize,Rice,0.9033950475229784,0.2637185455627713,0.9500891265597148,1.1069354461726384,291.72,0.726521056957139,0.722616843711965,1.0,0.8510819352774895
23,Belize,Wheat,0.9611279671474188,0.0981587356496835,0.980173275415149,1.0404441803602402,20870.82,1.0,1.0,0.9774476414783686,0.9896595824422897
26,Brunei Darussalam,Maize,0.8535442275764571,0.3472737512389236,0.9204324979858316,1.185613294593006,29935.736666666664,0.9923883865236466,0.9922607529757267,0.8229365544318006,0.904645699961679
26,Brunei Darussalam,Rice,0.41442844680147156,1.0321820754531117,0.5024208219907851,2.4181398928762747,51310.29,0.9911086532673297,0.9909817194957753,0.3802776138505664,0.6149962788446212
26,Brunei Darussalam,Wheat,0.7234687027952603,0.5826032448438611,0.8419382456462339,1.3831989309241983,14292.193333333335,0.9983166803856509,0.9982718938218994,0.6732360681946179,0.8208198052848549
28,Myanmar,Wheat,0.5221021748563324,0.9981615538220222,0.6922705712820462,1.9736417927690413,366094.76,1.0,1.0,0.4154803756573526,0.6456755036649678
29,Burundi,Maize,0.4185870339610041,1.0177635354396737,0.5255353119689952,2.411469482416418,17353.88666666667,0.9998928062136981,0.9998910087599384,0.27056089882479023,0.5213471606947714
29,Burundi,Rice,0.38277416088980737,1.1711241045826586,0.5177422637856132,2.7896464319646803,18134.079999999998,0.9999777515740762,0.9999774339532816,0.33583667854032584,0.5806598954178268
29,Burundi,Wheat,0.2925326386191673,1.416954170275308,0.3820181268710347,3.4395658945858734,73079.38333333333,0.8726555634345857,0.8692674250929292,0.12162391697015833,0.32667353807192406
32,Cameroon,Maize,0.7498760719213383,0.47854741964681846,0.8517457550594455,1.3716935362302527,28743.20333333334,0.9985333331831329,0.998508739726038,0.6912827588718794,0.8318309130190443
32,Cameroon,Rice,0.3962617368464337,1.1704768697727082,0.5271369525576715,2.6623812945976706,1469831.4400000002,0.966254795740284,0.965773045767266,0.3547725184532242,0.5864735980974032
32,Cameroon,Wheat,0.24140684541254312,1.720366174098683,0.37911697714999254,4.665079977091822,925776.5833333334,0.9844176304237472,0.984003044398326,0.056181242016319195,0.23732614156167434
33,Canada,Maize,0.9933619490941519,0.0256226602969334,0.9966634157224364,1.006741113045632,3607040.5,0.6171891931372251,0.6107701202804977,1.0,0.7825483310318784
33,Canada,Rice,0.2911092485963634,1.5628542734293767,0.41728347649490277,3.580756200210844,1135688.02,0.9643866964038902,0.9638782772544767,0.20714401275661537,0.44814466018177307
35,Cabo Verde,Maize,0.75966674150655,0.47518179972288993,0.8528896636027642,1.409786443893136,28668.05,1.0,1.0,0.7037164594988525,0.8398935503731121
